Player.Name....Team,Player.Total.Votes,Player.Rank,Fan.Total.Votes,Fan.Rank,Media.Total.Votes,Media.Rank,Weighted.Score,conference,court
"Antetokounmpo, Giannis -- MIL",269,1,"4,375,747",1,99,1,1,eastern,frontcourt
"Leonard, Kawhi -- TOR",189,2,"3,580,531",2,99,1,1.75,eastern,frontcourt
"Embiid, Joel -- PHI",186,3,"2,783,833",3,99,1,2.5,eastern,frontcourt
"Tatum, Jayson -- BOS",19,7,"1,002,885",4,1,4,4.75,eastern,frontcourt
"Butler, Jimmy -- PHI",51,4,"907,775",5,0,7,5.25,eastern,frontcourt
"Griffin, Blake -- DET",50,5,"843,785",6,0,7,6,eastern,frontcourt
"Siakam, Pascal -- TOR",16,10,"506,199",8,1,4,7.5,eastern,frontcourt
"Carter, Vince -- ATL",11,12,"540,939",7,0,7,8.25,eastern,frontcourt
"Drummond, Andre -- DET",21,6,"264,473",12,0,7,9.25,eastern,frontcourt
"Vucevic, Nikola -- ORL",17,9,"255,487",13,1,4,9.75,eastern,frontcourt
"Middleton, Khris -- MIL",18,8,"238,103",14,0,7,10.75,eastern,frontcourt
"Horford, Al -- BOS",7,22,"360,988",10,0,7,12.25,eastern,frontcourt
"Lopez, Brook -- MIL",11,12,"147,667",17,0,7,13.25,eastern,frontcourt
"Ibaka, Serge -- TOR",5,25,"348,217",11,0,7,13.5,eastern,frontcourt
"Hayward, Gordon -- BOS",4,29,"412,018",9,0,7,13.5,eastern,frontcourt
"Sabonis, Domantas -- IND",11,12,"144,248",18,0,7,13.75,eastern,frontcourt
"Bogdanovic, Bojan -- IND",11,12,"122,143",20,0,7,14.75,eastern,frontcourt
"Morris, Marcus -- BOS",5,25,"190,006",16,0,7,16,eastern,frontcourt
"Allen, Jarrett -- BKN",14,11,"94,421",25,0,7,17,eastern,frontcourt
"Love, Kevin -- CLE",3,34,"191,230",15,0,7,17.75,eastern,frontcourt
"Gordon, Aaron -- ORL",10,17,"94,489",24,0,7,18,eastern,frontcourt
"Turner, Myles -- IND",11,12,"89,023",27,0,7,18.25,eastern,frontcourt
"Markkanen, Lauri -- CHI",4,29,"139,747",19,0,7,18.5,eastern,frontcourt
"Bamba, Mo -- ORL",6,24,"81,319",28,0,7,21.75,eastern,frontcourt
"Thompson, Tristan -- CLE",8,19,"49,756",34,0,7,23.5,eastern,frontcourt
"Collins, John -- ATL",4,29,"55,563",31,0,7,24.5,eastern,frontcourt
"Adebayo, Bam -- MIA",8,19,"46,466",37,0,7,25,eastern,frontcourt
"Anunoby, OG -- TOR",3,34,"69,500",30,0,7,25.25,eastern,frontcourt
"Whiteside, Hassan -- MIA",1,57,"119,122",21,0,7,26.5,eastern,frontcourt
"Valanciunas, Jonas -- TOR",1,57,"114,827",22,0,7,27,eastern,frontcourt
"Osman, Cedi -- CLE",1,57,"101,593",23,0,7,27.5,eastern,frontcourt
"Ilyasova, Ersan -- MIL",2,41,"53,653",32,0,7,28,eastern,frontcourt
"Young, Thaddeus -- IND",7,22,"30,244",42,0,7,28.25,eastern,frontcourt
"Ariza, Trevor -- WAS",8,19,"26,975",45,0,7,29,eastern,frontcourt
"Baynes, Aron -- BOS",2,41,"49,545",35,0,7,29.5,eastern,frontcourt
"Winslow, Justise -- MIA",2,41,"49,421",36,0,7,30,eastern,frontcourt
"Kanter, Enes -- NYK",1,57,"70,621",29,0,7,30.5,eastern,frontcourt
"Carter Jr., Wendell -- CHI",5,25,"23,420",48,0,7,32,eastern,frontcourt
