Player.Name....Team,Player.Total.Votes,Player.Rank,Fan.Total.Votes,Fan.Rank,Media.Total.Votes,Media.Rank,Weighted.Score,conference,court
"Irving, Kyrie -- BOS",190,1,"3,881,766",1,100,1,1,eastern,guard
"Walker, Kemba -- CHA",98,2,"1,395,330",3,48,2,2.5,eastern,guard
"Wade, Dwyane -- MIA",41,6,"2,208,598",2,5,6,4,eastern,guard
"Simmons, Ben -- PHI",43,5,"1,184,221",4,25,3,4,eastern,guard
"Oladipo, Victor -- IND",58,4,"948,260",5,11,4,4.5,eastern,guard
"Lowry, Kyle -- TOR",38,7,"931,460",6,4,7,6.5,eastern,guard
"Beal, Bradley -- WAS",62,3,"346,027",10,7,5,7,eastern,guard
"LaVine, Zach -- CHI",17,8,"519,746",7,0,8,7.5,eastern,guard
"Russell, D'Angelo -- BKN",15,10,"222,499",11,0,8,10,eastern,guard
"Bledsoe, Eric -- MIL",17,8,"164,441",16,0,8,12,eastern,guard
"Brown, Jaylen -- BOS",4,19,"213,401",13,0,8,13.25,eastern,guard
"Brogdon, Malcolm -- MIL",14,12,"142,966",17,0,8,13.5,eastern,guard
"Redick, JJ -- PHI",14,12,"122,738",18,0,8,14,eastern,guard
"Dinwiddie, Spencer -- BKN",15,10,"115,054",20,0,8,14.5,eastern,guard
"Wall, John -- WAS",2,26,"169,032",15,0,8,16,eastern,guard
"Smart, Marcus -- BOS",2,26,"122,200",19,0,8,18,eastern,guard
"Young, Trae -- ATL",2,26,"106,790",21,0,8,19,eastern,guard
"Parker, Tony -- CHA",3,22,"77,056",24,0,8,19.5,eastern,guard
"Clarkson, Jordan -- CLE",1,43,"191,853",14,0,8,19.75,eastern,guard
"Rozier, Terry -- BOS",2,26,"79,584",23,0,8,20,eastern,guard
"Hardaway Jr., Tim -- NYK",2,26,"68,310",25,0,8,21,eastern,guard
"Dragic, Goran -- MIA",0,61,"482,214",8,0,8,21.25,eastern,guard
"Lin, Jeremy -- ATL",0,61,"449,166",9,0,8,21.75,eastern,guard
"Richardson, Josh -- MIA",2,26,"61,287",27,0,8,22,eastern,guard
"Sexton, Collin -- CLE",2,26,"36,471",28,0,8,22.5,eastern,guard
"McConnell, T.J. -- PHI",4,19,"26,564",32,0,8,22.75,eastern,guard
"Green, Danny -- TOR",0,61,"220,816",12,0,8,23.25,eastern,guard
"Collison, Darren -- IND",5,16,"22,529",35,0,8,23.5,eastern,guard
"VanVleet, Fred -- TOR",1,43,"101,147",22,0,8,23.75,eastern,guard
"Dunn, Kris -- CHI",3,22,"23,389",33,0,8,24,eastern,guard
"Fournier, Evan -- ORL",4,19,"21,611",37,0,8,25.25,eastern,guard
"Fultz, Markelle -- PHI",1,43,"29,992",30,0,8,27.75,eastern,guard
"Lamb, Jeremy -- CHA",2,26,"16,378",42,0,8,29.5,eastern,guard
"LeVert, Caris -- BKN",1,43,"23,085",34,0,8,29.75,eastern,guard
"Korkmaz, Furkan -- PHI",0,61,"61,306",26,0,8,30.25,eastern,guard
"Joseph, Cory -- IND",3,22,"14,252",46,0,8,30.5,eastern,guard
"Hill, George -- MIL",1,43,"21,901",36,0,8,30.75,eastern,guard
"Jackson, Reggie -- DET",8,14,"12,680",52,0,8,31.5,eastern,guard
"Wright, Delon -- TOR",0,61,"35,189",29,0,8,31.75,eastern,guard
"Evans, Tyreke -- IND",2,26,"14,114",48,0,8,32.5,eastern,guard
"Dellavedova, Matthew -- CLE",0,61,"28,387",31,0,8,32.75,eastern,guard
"Augustin, D.J. -- ORL",7,15,"12,441",54,0,8,32.75,eastern,guard
"Adams, Jaylen -- ATL",2,26,"13,927",49,0,8,33,eastern,guard
"Monk, Malik -- CHA",2,26,"13,650",50,0,8,33.5,eastern,guard
"Mudiay, Emmanuel -- NYK",2,26,"12,959",51,0,8,34,eastern,guard
"Snell, Tony -- MIL",1,43,"16,215",43,0,8,34.25,eastern,guard
"Calderon, Jose -- DET",0,61,"21,473",38,0,8,36.25,eastern,guard
"Bazemore, Kent -- ATL",2,26,"11,777",56,0,8,36.5,eastern,guard
"Arcidiacono, Ryan -- CHI",5,16,"10,235",61,0,8,36.5,eastern,guard
"DiVincenzo, Donte -- MIL",0,61,"20,293",39,0,8,36.75,eastern,guard
"Shamet, Landry -- PHI",0,61,"19,255",40,0,8,37.25,eastern,guard
"Connaughton, Pat -- MIL",0,61,"16,580",41,0,8,37.75,eastern,guard
"Bullock, Reggie -- DET",5,16,"8,446",66,0,8,39,eastern,guard
"Brown, Sterling -- MIL",0,61,"14,534",44,0,8,39.25,eastern,guard
"Waiters, Dion -- MIA",0,61,"14,335",45,0,8,39.75,eastern,guard
"Dozier, PJ -- BOS",3,22,"8,545",65,0,8,40,eastern,guard
"Trier, Allonzo -- NYK",0,61,"14,138",47,0,8,40.75,eastern,guard
"Musa, Dzanan -- BKN",0,61,"12,560",53,0,8,43.75,eastern,guard
"Holiday, Aaron -- IND",1,43,"9,819",63,0,8,44.25,eastern,guard
"Ntilikina, Frank -- NYK",0,61,"11,791",55,0,8,44.75,eastern,guard
"Baker, Ron",2,26,"6,878",74,0,8,45.5,eastern,guard
"Johnson, Tyler -- MIA",0,61,"11,649",57,0,8,45.75,eastern,guard
"Dorsey, Tyler -- ATL",0,61,"11,511",58,0,8,46.25,eastern,guard
"Hood, Rodney -- CLE",1,43,"8,046",67,0,8,46.25,eastern,guard
