Player.Name....Team,Player.Total.Votes,Player.Rank,Fan.Total.Votes,Fan.Rank,Media.Total.Votes,Media.Rank,Weighted.Score,conference,court
"James, LeBron -- LAL",174,1,"4,620,809",1,78,1,1,western,frontcourt
"Durant, Kevin -- GSW",168,2,"3,150,648",3,77,2,2.5,western,frontcourt
"George, Paul -- OKC",76,4,"3,122,346",4,43,4,4,western,frontcourt
"Davis, Anthony -- NOP",136,3,"2,520,728",5,66,3,4,western,frontcourt
"Doncic, Luka -- DAL",43,8,"4,242,980",2,2,6,4.5,western,frontcourt
"Jokic, Nikola -- DEN",75,5,"1,445,989",7,33,5,6,western,frontcourt
"Adams, Steven -- OKC",48,7,"1,779,073",6,0,8,6.75,western,frontcourt
"Green, Draymond -- GSW",16,10,"958,761",9,0,8,9,western,frontcourt
"Towns, Karl-Anthony -- MIN",16,10,"501,401",11,0,8,10,western,frontcourt
"Aldridge, LaMarcus -- SAS",49,6,"463,118",13,0,8,10,western,frontcourt
"Cousins, DeMarcus -- GSW",13,13,"691,722",10,0,8,10.25,western,frontcourt
"Capela, Clint -- HOU",20,9,"467,048",12,0,8,10.25,western,frontcourt
"Kuzma, Kyle -- LAL",10,19,"1,155,582",8,0,8,10.75,western,frontcourt
"Harris, Tobias -- LAC",16,10,"219,184",19,0,8,14,western,frontcourt
"Gallinari, Danilo -- LAC",11,18,"259,799",17,0,8,15,western,frontcourt
"Grant, Jerami -- OKC",10,19,"238,095",18,0,8,15.75,western,frontcourt
"Gobert, Rudy -- UTA",12,16,"196,040",21,1,7,16.25,western,frontcourt
"Ingram, Brandon -- LAL",4,30,"447,996",14,0,8,16.5,western,frontcourt
"Nowitzki, Dirk -- DAL",4,30,"394,622",15,0,8,17,western,frontcourt
CHI Jan. 22),7,24,"202,117",20,0,8,18,western,frontcourt
"Jordan, DeAndre -- DAL",8,22,"173,516",22,0,8,18.5,western,frontcourt
"Wiggins, Andrew -- MIN",12,16,"123,527",27,0,8,19.5,western,frontcourt
"Gasol, Marc -- MEM",13,13,"102,405",30,0,8,20.25,western,frontcourt
"Tucker, PJ -- HOU",5,28,"149,798",23,0,8,20.5,western,frontcourt
"Ayton, Deandre -- PHX",13,13,"101,143",31,0,8,20.75,western,frontcourt
"Nurkic, Jusuf -- POR",4,30,"131,459",24,0,8,21.5,western,frontcourt
"Marjanovic, Boban -- LAC",4,30,"123,533",26,0,8,22.5,western,frontcourt
"McGee, JaVale -- LAL",1,52,"316,015",16,0,8,23,western,frontcourt
"Gay, Rudy -- SAS",4,30,"122,988",28,0,8,23.5,western,frontcourt
"Barnes, Harrison -- DAL",9,21,"69,434",40,0,8,27.25,western,frontcourt
"Antetokounmpo, Kostas -- DAL",3,39,"98,369",32,0,8,27.75,western,frontcourt
"Bjelica, Nemanja -- SAC",1,52,"121,732",29,0,8,29.5,western,frontcourt
"Noel, Nerlens -- OKC",3,39,"72,361",38,0,8,30.75,western,frontcourt
"Ingles, Joe -- UTA",2,44,"77,335",36,0,8,31,western,frontcourt
"Beasley, Michael -- LAL",4,30,"55,823",43,0,8,31,western,frontcourt
"Harrell, Montrezl -- LAC",8,22,"47,205",47,0,8,31,western,frontcourt
"Zubac, Ivica -- LAL",1,52,"97,263",33,0,8,31.5,western,frontcourt
"Covington, Robert -- MIN",3,39,"62,266",42,0,8,32.75,western,frontcourt
"Bell, Jordan -- GSW",1,52,"73,082",37,0,8,33.5,western,frontcourt
"Saric, Dario -- MIN",6,27,"37,201",51,0,8,34.25,western,frontcourt
